id,type,name,native,aliases,region,countries,from_year,to_year,living,period,form,materials,worn,against,restricted,confidence,needs_verification,updated,url,blurb
agnus-dei,amulet,Agnus Dei,Agnus Dei,Agnus Dei wax · wax lamb · Agnus Dei disc · pascal wax medallion,rome-italy western-europe iberia diaspora,IT ES GB,800,,False,the early Middle Ages onward,medal,,neck chest,fire drowning fever childbirth,False,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/agnus-dei/,"A disc of wax, round or oval, with a lamb pressed into one face. The lamb carries a cross or a flag; the reverse usually takes a saint, or the name and arms of the reigning pope."
akuaba-figure,amulet,Akua'ba,,akuaba · akwaba · akuba · Akan fertility doll,west-africa diaspora,GH CI,1800,,True,documented from the nineteenth century; in use now,figurine,wood,,infertility bad-luck,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/akuaba-figure/,"A small wooden figure with a large flat disc for a head, a ringed neck and a short body, usually with arms out to the sides."
ankh-amulet,amulet,Ankh amulet,𓋹,ankh · key of life · crux ansata · handled cross,ancient-egypt nubia-sudan levant anatolia greece-aegean,EG SD SY LB IL PS TR GR,-2699,-1,False,"late Old Kingdom to the late first millennium BCE, and again from the twentieth century",pendant,gold silver faience,neck grave,illness the-dead,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/ankh-amulet/,"A T with a loop on top, the loop shaped like a droplet. As an amulet it is small and strung at the neck; the earliest ones are gold or electrum, the alloy of gold and silver, and later ones are mostly faience — quartz…"
anting-anting,amulet,Anting-anting,anting-anting,agimat · anting · virtud · galing · gayuma · mutya · orasyon,island-sea,PH,1565,,True,Spanish colonial period to the present,medal,copper brass gold paper cloth wood,neck sewn-in swallowed pocket,weapons curse spirits attraction bad-luck,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/anting-anting/,"Most often a flat pendant on a necklace — round, triangular or cross-shaped, in gold-coloured metal, its face crowded with figures and Latin words. But the class is wider than the pendant."
azabache,amulet,Azabache,azabache,mano de azabache · higa · figa · black hand · jet fist,iberia caribbean north-america diaspora,ES PR CU DO US,1400,,True,late medieval Iberia to the present,pendant,jet,neck wrist cradle sewn-in,evil-eye child-harm illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/azabache/,"A piece of jet — fossil wood, black, warm to the touch, light in the hand — cut either as a small clenched fist with the thumb pushed between the first two fingers, or as a faceted black bead."
bagua-mirror,amulet,Bagua mirror,八卦鏡,Pa Kua mirror · eight trigram mirror · feng shui mirror,china,CN HK TW,,,True,descended from bronze Taoist mirrors; the household form is modern and undated in the source,mirror,glass brass copper wood plastic,door wall shop roof,house spirits bad-luck,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/bagua-mirror/,"An octagonal or circular plaque with the eight trigrams set around a mirror at its centre. The mirror is flat, convex or concave, and which one it is decides what the object claims to do."
bes-amulet,amulet,Bes amulet,Ⲃⲏⲥ,Bes · Bisu · Beset (the feminine counterpart),ancient-egypt nubia-sudan levant iberia iran-persia greece-aegean,EG SD SY ES CY IR GR,-2054,999,False,Middle Kingdom to Coptic Egypt,figurine,faience terracotta gold skin,neck door cradle skin hearth,child-harm childbirth snakebite demons infertility,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/bes-amulet/,"A squat bearded figure with a lion's face, a feathered crown, a protruding tongue and bandy legs, shown full-face when every other Egyptian god is shown in profile."
brigids-cross,amulet,Brigid's cross,Cros Bhríde,St Brigid's cross · Crosóg Bhríde · Bogha Bhríde · St Brigid's Bow · wheel cross,britain-ireland diaspora,IE GB,1600,,True,Early modern to the present,door-piece,straw wood thread,roof wall door lintel,house livestock infertility illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/brigids-cross/,"A small cross woven from straw or rushes, defined by its material rather than its shape."
brown-scapular,amulet,Brown Scapular,scapulare,Scapular of Our Lady of Mount Carmel · Carmelite scapular · escapulario · devotional scapular,western-europe britain-ireland iberia rome-italy baltic-slavic north-america diaspora,GB PT PL IT US,1250,,True,the high Middle Ages to now,garment,cloth thread wood paper,chest neck sewn-in,the-dead,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/brown-scapular/,"Two small rectangles of brown wool, a few inches across, joined by two cloth bands. One rectangle sits on the chest, the bands run over the shoulders, the other rectangle hangs down the back."
bujeok,amulet,Bujeok,부적,pujŏk · 符籍 · Korean paper talisman,korea,KR,1100,,True,Goryeo to the present,folded-paper,paper ink cloth,pocket wall,bad-luck attraction spirits,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/bujeok/,"A paper talisman drawn by a mudang, the ritual specialist of Korean vernacular religion. The figures on it are built out of Hanja, the Korean forms of Chinese logograms, worked into shapes that are not ordinary writing."
bulla,amulet,Bulla,bulla,bulla aurea · Roman boy's locket,rome-italy,IT,-299,399,False,Roman,box,gold lead leather cloth,neck chest,child-harm bad-luck evil-eye,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/bulla/,"A locket on a neckchain: a round hollow pouch with something shut inside it, usually a phallus. What it was made of tracked the family's money — gold or gold foil at the top, lead, leather or cloth further down."
car-saint,amulet,Car saint,,dashboard saint · St Christopher medal · visor medal · dashboard statue,western-europe iberia north-america mesoamerica diaspora,FR ES,1900,,True,the motor age,medal,silver brass plastic paper,vehicle neck wrist pocket wallet,traffic travel drowning,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/car-saint/,"A stamped metal medal clipped to a sun visor or glued to a dashboard, or a miniature statue standing on it, showing a giant wading a river with a child on his shoulder."
caul,amulet,Caul,,silly hood · veil · born in a shirt · né coiffé · nato con la camicia · w czepku urodzony,britain-ireland western-europe rome-italy baltic-slavic balkans caribbean,GB NL FR IT PL RU RO JM,1000,1999,False,Medieval to the twentieth century,folded-paper,skin paper,pocket boat,drowning bad-luck witchcraft spirits,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/caul/,"A piece of birth membrane that comes away with a newborn and clings to the head and face — usually the thin translucent inner lining, the amnion."
challenge-coin,amulet,Challenge coin,,military coin · unit coin · commander's coin · memorial coin · airman's coin,north-america britain-ireland western-europe pacific aotearoa,US CA GB CH AU NZ,1950,,True,the mid twentieth century to now,coin,copper brass silver,pocket wallet,fire,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/challenge-coin/,"A struck metal disc the size of a large coin, bearing a unit's insignia or an organization's emblem, carried in a pocket."
